Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
SRI+Lagrangian , ./data/Jabali/k4/40_4_0.82_1_7.svrp , 715.08 , 702.377 , 1.7764 , 2.182 , 4.246 , 4 , 705 , 10.08 , 10.08 , 10.08 , 715.08 , 715.08 , 0 , 897 , 447 , 0.666777 , 0 , 0 , 1 , 0 , 0.074335 , 584 , 0.578241 , 16 , 0.075914 , 1 , 0
SRI+Lagrangian+MIP , ./data/Jabali/k4/40_4_0.82_1_7.svrp , 715.08 , 702.445 , 1.7669 , 7.823 , 9.5 , 4 , 705 , 10.08 , 10.08 , 10.08 , 715.08 , 715.08 , 0 , 518 , 368 , 0.893409 , 0 , 0 , 2 , 0 , 0.053603 , 595 , 5.90958 , 21 , 0.049115 , 1 , 0
Parada , ./data/Jabali/k4/40_4_0.82_1_8.svrp , 728.28 , 711.25 , 2.33839 , 0.016 , 0.778 , 4 , 718 , 10.28 , 10.28 , 11 , 728.28 , 728.28 , 0 , 358 , 279 , 0.104118 , 0 , 0 , 10 , 36 , 0.065892 , 0 , 0 , 0 , 0 , 1 , 0
SRI , ./data/Jabali/k4/40_4_0.82_1_8.svrp , 728.28 , 719.463 , 1.21059 , 4.373 , 5.071 , 4 , 718 , 10.28 , 10.28 , 10.96 , 728.28 , 728.28 , 0 , 76 , 146 , 1.82228 , 0 , 0 , 0 , 0 , 0.017902 , 697 , 2.10172 , 10 , 0.017477 , 1 , 0
SRI+Lagrangian , ./data/Jabali/k4/40_4_0.82_1_8.svrp , 728.28 , 723.916 , 0.599231 , 4.296 , 4.92 , 4 , 718 , 10.28 , 10.28 , 11 , 728.28 , 728.28 , 0 , 137 , 146 , 1.82349 , 0 , 0 , 3 , 0 , 0.018233 , 697 , 2.09499 , 10 , 0.020079 , 1 , 0
SRI+Lagrangian+MIP , ./data/Jabali/k4/40_4_0.82_1_8.svrp , 728.28 , 723.933 , 0.59684 , 5.324 , 6.004 , 4 , 718 , 10.28 , 10.28 , 11 , 728.28 , 728.28 , 0 , 72 , 138 , 1.9315 , 0 , 0 , 1 , 0 , 0.01552 , 711 , 3.14809 , 8 , 0.01578 , 1 , 0
Parada , ./data/Jabali/k4/40_4_0.82_1_9.svrp , 676.72 , 651.73 , 3.69281 , 0.043 , 2.593 , 4 , 670 , 6.72 , 6.72 , 6.76 , 676.72 , 676.72 , 0 , 602 , 597 , 0.171981 , 0 , 0 , 42 , 75 , 0.162474 , 0 , 0 , 0 , 0 , 1 , 0
SRI , ./data/Jabali/k4/40_4_0.82_1_9.svrp , 676.72 , 665.221 , 1.69922 , 3.835 , 5.412 , 4 , 670 , 6.72 , 6.72 , 6.76 , 676.72 , 676.72 , 0 , 110 , 270 , 1.03899 , 0 , 0 , 7 , 0 , 0.030901 , 622 , 1.56124 , 22 , 0.024546 , 1 , 0
SRI+Lagrangian , ./data/Jabali/k4/40_4_0.82_1_9.svrp , 676.72 , 675.698 , 0.150961 , 3.741 , 4.866 , 4 , 670 , 6.72 , 6.72 , 6.72 , 676.72 , 676.72 , 0 , 167 , 303 , 1.06494 , 0 , 0 , 2 , 0 , 0.039642 , 622 , 1.58359 , 20 , 0.037044 , 1 , 0
SRI+Lagrangian+MIP , ./data/Jabali/k4/40_4_0.82_1_9.svrp , 676.72 , 675.957 , 0.112708 , 30.223 , 30.679 , 4 , 670 , 6.72 , 6.72 , 6.72 , 676.72 , 676.72 , 0 , 14 , 220 , 3.40861 , 0 , 0 , 0 , 0 , 0.006739 , 690 , 26.2998 , 3 , 0.006439 , 1 , 0
