Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SRI , ./data/Jabali/k2/60_2_0.93_1_6.svrp , 673.105 , 658.678 , 2.14328 , 0.29 , 8.919 , 2 , 670.767 , 2.3374 , 2.3374 , 2.60636 , 673.105 , 673.105 , 0 , 1147 , 598 , 0.565451 , 0 , 0 , 197 , 2.21533 , 23 , 0.060297 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.93_1_6.svrp , 673.105 , 659.153 , 2.0727 , 0.342 , 4.3 , 2 , 670.767 , 2.3374 , 2.3374 , 2.60636 , 673.105 , 673.105 , 0 , 635 , 360 , 0.28352 , 0 , 0 , 133 , 1.63433 , 23 , 0.074814 , 0 , 0 , 1
Parada , ./data/Jabali/k2/60_2_0.93_1_7.svrp , 614.827 , 610.295 , 0.737166 , 0.071 , 1.665 , 2 , 609.018 , 5.80952 , 5.80952 , 6.60679 , 614.827 , 614.827 , 0 , 382 , 242 , 0.164986 , 0 , 0 , 71 , 0.733553 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/60_2_0.93_1_7.svrp , 614.827 , 610.689 , 0.673144 , 0.149 , 0.975 , 2 , 609.018 , 5.80952 , 5.80952 , 6.60679 , 614.827 , 614.827 , 0 , 252 , 166 , 0.102009 , 0 , 0 , 17 , 0.427125 , 9 , 0.014909 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.93_1_7.svrp , 614.827 , 610.689 , 0.673144 , 0.156 , 1.017 , 2 , 609.018 , 5.80952 , 5.80952 , 6.60679 , 614.827 , 614.827 , 0 , 252 , 166 , 0.102703 , 0 , 0 , 17 , 0.427318 , 9 , 0.015166 , 0 , 0 , 1
Parada , ./data/Jabali/k2/60_2_0.93_1_8.svrp , 613.328 , 609.743 , 0.584501 , 0.069 , 0.863 , 2 , 609.343 , 3.9849 , 3.9849 , 3.9849 , 613.328 , 613.328 , 0 , 194 , 240 , 0.104344 , 0 , 0 , 28 , 0.305649 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/60_2_0.93_1_8.svrp , 613.328 , 611.066 , 0.368784 , 0.117 , 0.597 , 2 , 609.343 , 3.9849 , 3.9849 , 3.9849 , 613.328 , 613.328 , 0 , 71 , 138 , 0.053675 , 0 , 0 , 39 , 0.217324 , 13 , 0.024883 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.93_1_8.svrp , 613.328 , 613.315 , 0.00201001 , 0.112 , 0.322 , 2 , 609.343 , 3.9849 , 3.9849 , 3.9849 , 613.328 , 613.328 , 0 , 1 , 101 , 0.03463 , 0 , 0 , 10 , 0.063397 , 13 , 0.025162 , 0 , 0 , 1
Parada , ./data/Jabali/k2/60_2_0.93_1_9.svrp , 668.654 , 655.471 , 1.97157 , 0.075 , 3.621 , 2 , 657.374 , 11.2802 , 11.2802 , 13.6266 , 668.654 , 668.654 , 0 , 1075 , 255 , 0.248907 , 0 , 0 , 135 , 2.04412 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/60_2_0.93_1_9.svrp , 668.654 , 655.814 , 1.92027 , 0.173 , 4.844 , 2 , 657.374 , 11.2802 , 11.2802 , 13.6266 , 668.654 , 668.654 , 0 , 1114 , 379 , 0.276334 , 0 , 0 , 164 , 1.79995 , 8 , 0.02439 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.93_1_9.svrp , 668.654 , 656.134 , 1.87241 , 0.2 , 4.665 , 2 , 657.374 , 11.2802 , 11.2802 , 13.6266 , 668.654 , 668.654 , 0 , 1245 , 307 , 0.281556 , 0 , 0 , 140 , 2.19189 , 8 , 0.024338 , 0 , 0 , 1
Parada , ./data/Jabali/k2/60_2_0.95_1_0.svrp , 699.386 , 680.098 , 2.75779 , 0.072 , 5.849 , 2 , 677.372 , 22.0138 , 22.0138 , 23.0213 , 699.386 , 699.386 , 0 , 924 , 549 , 0.420263 , 0 , 0 , 124 , 1.42249 , 0 , 0 , 0 , 0 , 1
SRI , ./data/Jabali/k2/60_2_0.95_1_0.svrp , 699.386 , 681.265 , 2.59102 , 0.316 , 3.444 , 2 , 677.372 , 22.0138 , 22.0138 , 23.0213 , 699.386 , 699.386 , 0 , 1164 , 392 , 0.351946 , 0 , 0 , 76 , 1.23428 , 54 , 0.101459 , 0 , 0 , 1
SRI+Lagrangian , ./data/Jabali/k2/60_2_0.95_1_0.svrp , 699.386 , 685.544 , 1.9791 , 0.386 , 3.283 , 2 , 677.372 , 22.0138 , 22.0138 , 23.0213 , 699.386 , 699.386 , 0 , 720 , 388 , 0.306545 , 0 , 0 , 81 , 0.922088 , 54 , 0.126177 , 0 , 0 , 1
