Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/Jabali/k4/40_4_0.80_1_6.svrp , 678.6 , 657.83 , 3.06071 , 0.035 , 26.733 , 4 , 669 , 9.6 , 9.42 , 9.6 , 678.6 , 678.6 , 0 , 4620 , 1304 , 0.771959 , 168 , 0.352683 , 141 , 0.083416 , 0 , 0 , 0 , 0 , 1
ILS+SRI2 , ./data/Jabali/k4/40_4_0.80_1_6.svrp , 678.6 , 666.12 , 1.83908 , 60.087 , 65.941 , 4 , 669 , 9.6 , 9.42 , 9.6 , 678.6 , 678.6 , 0 , 1063 , 562 , 2.99368 , 27 , 0.033685 , 0 , 0 , 5035 , 2.50861 , 128 , 0.216404 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.80_1_6.svrp , 678.6 , 665.99 , 1.85822 , 60.068 , 67.612 , 4 , 669 , 9.6 , 9.42 , 9.6 , 678.6 , 678.6 , 0 , 1478 , 645 , 3.22078 , 51 , 0.692698 , 0 , 0 , 5066 , 2.87597 , 138 , 0.279972 , 1
ILS , ./data/Jabali/k4/40_4_0.80_1_7.svrp , 658.13 , 655.13 , 0.455837 , 0.047 , 0.461 , 4 , 651 , 7.13 , 6.18 , 7.13 , 658.13 , 658.13 , 0 , 20 , 125 , 0.021969 , 10 , 0.004503 , 10 , 0.002459 , 0 , 0 , 0 , 0 , 1
ILS+SRI2 , ./data/Jabali/k4/40_4_0.80_1_7.svrp , 658.13 , 658.13 , 0 , 6.55 , 6.699 , 4 , 651 , 7.13 , 6.18 , 7.13 , 658.13 , 658.13 , 0 , 1 , 202 , 0.112923 , 3 , 0.003036 , 0 , 0 , 238 , 5.50951 , 26 , 0.003314 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.80_1_7.svrp , 658.13 , 658.13 , 0 , 6.776 , 6.949 , 4 , 651 , 7.13 , 6.18 , 7.13 , 658.13 , 658.13 , 0 , 1 , 202 , 0.112663 , 3 , 0.012666 , 0 , 0 , 238 , 5.72413 , 26 , 0.003356 , 1
ILS , ./data/Jabali/k4/40_4_0.80_1_8.svrp , 739.64 , 715.25 , 3.29755 , 0.067 , 17.825 , 4 , 720 , 19.64 , 19.55 , 19.64 , 739.64 , 739.64 , 0 , 5626 , 841 , 1.04561 , 179 , 0.367572 , 186 , 0.086275 , 0 , 0 , 0 , 0 , 1
ILS+SRI2 , ./data/Jabali/k4/40_4_0.80_1_8.svrp , 739.64 , 724.11 , 2.09967 , 60.124 , 70.204 , 4 , 720 , 19.64 , 19.55 , 19.64 , 739.64 , 739.64 , 0 , 2374 , 665 , 6.79605 , 95 , 0.094059 , 0 , 0 , 3263 , 7.07059 , 192 , 0.434965 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.80_1_8.svrp , 739.64 , 723.87 , 2.13212 , 60.083 , 82.686 , 4 , 720 , 19.64 , 19.55 , 19.64 , 739.64 , 739.64 , 0 , 4440 , 775 , 6.80461 , 141 , 1.28563 , 0 , 0 , 3227 , 6.31464 , 187 , 0.85789 , 1
ILS , ./data/Jabali/k4/40_4_0.80_1_9.svrp , 653.04 , 634.58 , 2.82678 , 0.082 , 5.384 , 4 , 651 , 2.04 , 2.04 , 2.04 , 653.04 , 653.04 , 0 , 1229 , 622 , 0.17199 , 123 , 0.094176 , 127 , 0.023361 , 0 , 0 , 0 , 0 , 1
ILS+SRI2 , ./data/Jabali/k4/40_4_0.80_1_9.svrp , 653.04 , 641.56 , 1.75793 , 60.122 , 65.67 , 4 , 651 , 2.04 , 2.04 , 2.04 , 653.04 , 653.04 , 0 , 872 , 609 , 2.85601 , 60 , 0.050803 , 0 , 0 , 3961 , 3.12481 , 143 , 0.165218 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.80_1_9.svrp , 653.04 , 641.74 , 1.73037 , 60.068 , 63.96 , 4 , 651 , 2.04 , 2.04 , 2.04 , 653.04 , 653.04 , 0 , 563 , 527 , 2.73487 , 66 , 0.358455 , 0 , 0 , 3921 , 3.08695 , 139 , 0.111473 , 1
ILS , ./data/Jabali/k4/40_4_0.82_1_0.svrp , 722.59 , 704.64 , 2.48412 , 0.031 , 4.418 , 4 , 709 , 13.59 , 13.56 , 13.59 , 722.59 , 722.59 , 0 , 1154 , 562 , 0.203831 , 75 , 0.042329 , 89 , 0.0215 , 0 , 0 , 0 , 0 , 1
ILS+SRI2 , ./data/Jabali/k4/40_4_0.82_1_0.svrp , 722.59 , 712.06 , 1.45726 , 60.044 , 66.833 , 4 , 709 , 13.59 , 13.56 , 13.59 , 722.59 , 722.59 , 0 , 1449 , 507 , 4.38811 , 107 , 0.100716 , 0 , 0 , 3279 , 8.68608 , 165 , 0.275233 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.82_1_0.svrp , 722.59 , 712.09 , 1.45311 , 60.047 , 64.58 , 4 , 709 , 13.59 , 13.56 , 13.59 , 722.59 , 722.59 , 0 , 1478 , 400 , 4.5217 , 76 , 0.444018 , 0 , 0 , 3280 , 10.0502 , 129 , 0.304166 , 1
ILS , ./data/Jabali/k4/40_4_0.82_1_1.svrp , 677.39 , 662.26 , 2.23357 , 0.028 , 4.766 , 4 , 668 , 9.39 , 9.15 , 9.39 , 677.39 , 677.39 , 0 , 1173 , 386 , 0.144002 , 99 , 0.143755 , 79 , 0.029278 , 0 , 0 , 0 , 0 , 1
ILS+SRI2 , ./data/Jabali/k4/40_4_0.82_1_1.svrp , 677.39 , 668.54 , 1.30649 , 54.329 , 57.53 , 4 , 668 , 9.39 , 9.15 , 9.39 , 677.39 , 677.39 , 0 , 1049 , 395 , 2.02762 , 70 , 0.133269 , 0 , 0 , 2966 , 34.8804 , 98 , 0.205872 , 1
ILS+SRI , ./data/Jabali/k4/40_4_0.82_1_1.svrp , 677.39 , 668.54 , 1.30649 , 52.876 , 55.691 , 4 , 668 , 9.39 , 9.15 , 9.39 , 677.39 , 677.39 , 0 , 786 , 330 , 1.99986 , 61 , 0.472637 , 0 , 0 , 2966 , 33.6386 , 87 , 0.158467 , 1
ILS , ./data/Jabali/k4/40_4_0.82_1_2.svrp , 632.6 , 629.37 , 0.510591 , 0.026 , 0.619 , 4 , 626 , 6.6 , 6.1 , 6.6 , 632.6 , 632.6 , 0 , 28 , 112 , 0.015778 , 38 , 0.022016 , 38 , 0.004815 , 0 , 0 , 0 , 0 , 1
