Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Root Lower Bound , Root Gap (%) , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Partial Route Cuts , Elementary Route Cuts , Root Time (s) , Time (s) , Solved
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.95_1_5.svrp , 2 , 693.326 , 678.24 , 15.0862 , 15.0862 , 693.326 , 693.326 , 0 , 671.335 , 3.17174 , 2102 , 761 , 0 , 0 , 2710 , 748 , 0.062 , 10.97 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.95_1_5.svrp , 2 , 693.326 , 678.24 , 15.0862 , 15.0862 , 693.326 , 693.326 , 0 , 676.495 , 2.4276 , 1808 , 809 , 0 , 12 , 691 , 375 , 0.226 , 12.43 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.95_1_5.svrp , 2 , 693.326 , 678.24 , 15.0862 , 15.0862 , 693.326 , 693.326 , 0 , 676.495 , 2.4276 , 1170 , 640 , 0 , 12 , 1689 , 210 , 0.23 , 6.864 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.95_1_6.svrp , 2 , 674.263 , 661.162 , 13.1005 , 13.1005 , 674.263 , 674.263 , 0 , 643.384 , 4.57963 , 18307 , 1786 , 0 , 0 , 6029 , 3367 , 0.034 , 220.9 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.95_1_6.svrp , 2 , 674.263 , 661.162 , 13.1005 , 13.1005 , 674.263 , 674.263 , 0 , 643.384 , 4.57963 , 15215 , 1787 , 0 , 0 , 20297 , 4205 , 0.037 , 176.585 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.95_1_6.svrp , 2 , 674.263 , 661.162 , 13.1005 , 13.1005 , 674.263 , 674.263 , 0 , 649.46 , 3.67853 , 4127 , 1044 , 0 , 16 , 1788 , 1214 , 0.417 , 25.057 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.95_1_6.svrp , 2 , 674.263 , 661.162 , 13.1005 , 13.1005 , 674.263 , 674.263 , 0 , 649.46 , 3.67853 , 4850 , 1014 , 0 , 16 , 7566 , 2364 , 0.418 , 33.685 , 1
VRP-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.95_1_7.svrp , 2 , 655.309 , 638.252 , 17.0577 , 17.0577 , 655.309 , 655.309 , 0 , 632.174 , 3.53045 , 36939 , 2510 , 0 , 0 , 17231 , 9962 , 0.054 , 769.402 , 1
VRP-PARTIAL_ROUTE-NODE-IMPROVPARTIAL , ../../data/Jabali/SVRP/k2/60_2_0.95_1_7.svrp , 2 , 655.309 , 638.252 , 17.0577 , 17.0577 , 655.309 , 655.309 , 0 , 632.174 , 3.53045 , 27342 , 2428 , 0 , 0 , 53906 , 16308 , 0.057 , 537.29 , 1
VRP-SCEN_CUTS-PARTIAL_ROUTE-NODE , ../../data/Jabali/SVRP/k2/60_2_0.95_1_7.svrp , 2 , 655.309 , 638.252 , 17.0577 , 17.0577 , 655.309 , 655.309 , 0 , 640.439 , 2.26913 , 24967 , 1706 , 0 , 17 , 5000 , 3174 , 0.534 , 199.931 , 1
