Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
ILS , ./data/Jabali/k4/50_4_0.85_1_0.svrp , 744.14 , 724.74 , 2.60704 , 0.097 , 5.237 , 4 , 735 , 9.14 , 8.95 , 9.14 , 744.14 , 744.14 , 0 , 736 , 543 , 0.2178 , 66 , 0.012585 , 0 , 52 , 0.017171 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/50_4_0.85_1_0.svrp , 744.14 , 733.697 , 1.4033 , 60.187 , 77.044 , 4 , 735 , 9.14 , 8.95 , 9.14 , 744.14 , 744.14 , 0 , 956 , 1078 , 3.71537 , 106 , 0.020077 , 0 , 0 , 0 , 3409 , 2.36395 , 842 , 0.202637 , 1
SRI2 , ./data/Jabali/k4/50_4_0.85_1_0.svrp , 744.14 , 733.644 , 1.41053 , 60.123 , 66.467 , 4 , 735 , 9.14 , 8.95 , 9.14 , 744.14 , 744.14 , 0 , 968 , 802 , 3.37364 , 58 , 0.102014 , 0 , 0 , 0 , 3288 , 2.13228 , 569 , 0.17528 , 1
ILS+SRI , ./data/Jabali/k4/50_4_0.85_1_0.svrp , 744.14 , 733.686 , 1.40479 , 60.181 , 92.304 , 4 , 735 , 9.14 , 8.95 , 9.14 , 744.14 , 744.14 , 0 , 1293 , 1232 , 3.59113 , 257 , 0.355229 , 0 , 0 , 0 , 3313 , 2.17785 , 1069 , 0.837165 , 1
ILS , ./data/Jabali/k4/50_4_0.85_1_1.svrp , 766.22 , 728.984 , 4.85965 , 0.216 , 1000.07 , 4 , 757 , 9.22 , 9.17 , 9.22 , 766.22 , 748.83 , 2.26958 , 19150 , 6111 , 7.42806 , 1172 , 0.343053 , 0 , 1009 , 0.772188 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k4/50_4_0.85_1_1.svrp , 767.21 , 736.943 , 3.9451 , 60.154 , 1000.11 , 4 , 761 , 6.21 , 5.91 , 6.21 , 767.21 , 753.043 , 1.84654 , 16062 , 6068 , 10.8629 , 1286 , 0.288324 , 0 , 0 , 0 , 3137 , 4.46783 , 6186 , 3.33983 , 0
SRI2 , ./data/Jabali/k4/50_4_0.85_1_1.svrp , 774.94 , 736.944 , 4.90306 , 60.156 , 1000.17 , 4 , 761 , 13.94 , 11.08 , 13.94 , 774.94 , 746.921 , 3.61568 , 11243 , 5718 , 10.0617 , 1164 , 2.87516 , 0 , 0 , 0 , 3148 , 4.47829 , 5849 , 2.75606 , 0
ILS+SRI , ./data/Jabali/k4/50_4_0.85_1_1.svrp , 770.62 , 736.947 , 4.36956 , 60.174 , 1000.11 , 4 , 753 , 17.62 , 17.15 , 17.62 , 770.62 , 753.893 , 2.17062 , 15380 , 5896 , 11.4915 , 1165 , 2.85679 , 0 , 0 , 0 , 3163 , 4.5977 , 6009 , 10.5782 , 0
ILS , ./data/Jabali/k4/50_4_0.85_1_2.svrp , 716.43 , 697.685 , 2.61639 , 0.115 , 10.214 , 4 , 708 , 8.43 , 8.43 , 8.43 , 716.43 , 716.43 , 0 , 879 , 908 , 0.26299 , 101 , 0.021974 , 0 , 93 , 0.028224 , 0 , 0 , 0 , 0 , 1
SRI1 , ./data/Jabali/k4/50_4_0.85_1_2.svrp , 716.43 , 708.963 , 1.04223 , 60.132 , 68.132 , 4 , 708 , 8.43 , 8.43 , 8.43 , 716.43 , 716.43 , 0 , 657 , 917 , 5.79654 , 101 , 0.020122 , 0 , 0 , 0 , 2691 , 5.26557 , 793 , 0.146215 , 1
