Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved
SRI2 , ./data/Jabali/k3/60_3_0.85_1_8.svrp , 755.34 , 739.3 , 2.12359 , 61.301 , 77.594 , 3 , 750 , 5.34 , 5.34 , 5.34 , 755.34 , 755.34 , 0 , 3768 , 229 , 0.682935 , 209 , 4.88302 , 0 , 0 , 0 , 1253 , 0.274147 , 294 , 1.348 , 1
ILS+SRI , ./data/Jabali/k3/60_3_0.85_1_8.svrp , 755.34 , 739.3 , 2.12359 , 61.381 , 82.354 , 3 , 750 , 5.34 , 5.34 , 5.34 , 755.34 , 755.34 , 0 , 2197 , 285 , 0.435241 , 225 , 7.59935 , 0 , 0 , 0 , 1253 , 0.274768 , 333 , 2.70648 , 1
ILS , ./data/Jabali/k3/60_3_0.85_1_9.svrp , 693.68 , 586.5 , 15.4509 , 0.015 , 1000.07 , 3 , 632 , 61.68 , 52.77 , 61.68 , 693.68 , 626.53 , 9.68025 , 20349 , 1349 , 4.6305 , 6219 , 2.45166 , 0 , 2681 , 5.91998 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/60_3_0.85_1_9.svrp , 663.45 , 637.763 , 3.87172 , 60.095 , 651.343 , 3 , 652 , 11.45 , 9.74 , 11.45 , 663.45 , 663.45 , 0 , 38909 , 868 , 7.19659 , 1429 , 0.55802 , 0 , 0 , 0 , 3156 , 0.638975 , 1554 , 14.5747 , 1
SRI2 , ./data/Jabali/k3/60_3_0.85_1_9.svrp , 663.45 , 637.763 , 3.87174 , 60.099 , 569.428 , 3 , 652 , 11.45 , 9.74 , 11.45 , 663.45 , 663.45 , 0 , 27220 , 762 , 4.90789 , 2226 , 100.568 , 0 , 0 , 0 , 3148 , 0.637672 , 1447 , 10.9156 , 1
ILS+SRI , ./data/Jabali/k3/60_3_0.85_1_9.svrp , 663.45 , 637.763 , 3.87174 , 60.312 , 167.191 , 3 , 652 , 11.45 , 9.74 , 11.45 , 663.45 , 663.45 , 0 , 13130 , 373 , 2.64706 , 471 , 18.5861 , 0 , 0 , 0 , 3148 , 0.638102 , 693 , 14.4104 , 1
ILS , ./data/Jabali/k3/60_3_0.88_1_0.svrp , 758.65 , 666.5 , 12.1466 , 0.019 , 1000.11 , 3 , 671 , 87.65 , 79.71 , 87.65 , 758.65 , 688 , 9.31259 , 17619 , 1351 , 4.96654 , 5121 , 1.69826 , 0 , 3845 , 5.35367 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/60_3_0.88_1_0.svrp , 735.83 , 717.891 , 2.43787 , 60.196 , 1000.12 , 3 , 732 , 3.83 , 3.83 , 3.83 , 735.83 , 733.715 , 0.287409 , 93597 , 1123 , 21.7294 , 1690 , 0.770561 , 0 , 0 , 0 , 3126 , 0.757501 , 1159 , 35.3158 , 0
SRI2 , ./data/Jabali/k3/60_3_0.88_1_0.svrp , 735.83 , 717.892 , 2.43785 , 60.098 , 465.074 , 3 , 732 , 3.83 , 3.83 , 3.83 , 735.83 , 735.83 , 0 , 47950 , 673 , 9.7911 , 1227 , 61.053 , 0 , 0 , 0 , 3171 , 0.768174 , 912 , 16.2682 , 1
ILS+SRI , ./data/Jabali/k3/60_3_0.88_1_0.svrp , 735.83 , 717.892 , 2.43785 , 60.143 , 183.794 , 3 , 732 , 3.83 , 3.83 , 3.83 , 735.83 , 735.83 , 0 , 12502 , 394 , 2.30661 , 619 , 33.0505 , 0 , 0 , 0 , 3171 , 0.767203 , 621 , 13.6476 , 1
ILS , ./data/Jabali/k3/60_3_0.88_1_1.svrp , 792.11 , 701.2 , 11.4769 , 0.02 , 1000.1 , 3 , 718 , 74.11 , 64.05 , 74.11 , 792.11 , 718.367 , 9.30965 , 18396 , 1040 , 5.90667 , 4813 , 1.42154 , 0 , 4455 , 5.618 , 0 , 0 , 0 , 0 , 0
SRI1 , ./data/Jabali/k3/60_3_0.88_1_1.svrp , 746.85 , 739.094 , 1.03845 , 60.253 , 64.846 , 3 , 739 , 7.85 , 7.34 , 7.85 , 746.85 , 746.85 , 0 , 1867 , 166 , 0.454601 , 130 , 0.047622 , 0 , 0 , 0 , 2652 , 0.583442 , 206 , 0.76296 , 1
SRI2 , ./data/Jabali/k3/60_3_0.88_1_1.svrp , 746.85 , 739.102 , 1.03747 , 60.139 , 67.968 , 3 , 739 , 7.85 , 7.34 , 7.85 , 746.85 , 746.85 , 0 , 2273 , 180 , 0.484804 , 124 , 2.98124 , 0 , 0 , 0 , 2702 , 0.595296 , 239 , 0.891923 , 1
ILS+SRI , ./data/Jabali/k3/60_3_0.88_1_1.svrp , 746.85 , 739.106 , 1.03693 , 60.255 , 73.337 , 3 , 739 , 7.85 , 7.34 , 7.85 , 746.85 , 746.85 , 0 , 1974 , 184 , 0.512888 , 184 , 4.72104 , 0 , 0 , 0 , 2732 , 0.604711 , 310 , 2.63331 , 1
