Algorithm , Instance , K , Model Solution Cost , Deterministic Cost , Model Recourse Cost , Recourse Cost , Upper Bound , Lower Bound , Gap , Root Lower Bound , Root Gap , Node Count , CVRPSEP Cuts , Gendreau Cuts , Scenario Cuts , Node Recourse Cuts , Root Time (s) , Time (s)
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-43.svrp , 3 , 573.11 , 573 , 0.11 , 0.11 , 573.11 , 573.11 , 0% , 566 , 1.2406% , 287 , 240 , 131 , 0 , 0 , 0.011 , 0.442
VRP-Gendreau , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-44.svrp , 3 , 704 , 704 , 0 , 0 , 704 , 666.5 , 5.3267% , 662.333 , 5.91856% , 1914 , 576 , 93697 , 0 , 0 , 0.019 , 100.029
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-44.svrp , 3 , 719.62 , 667 , 52.62 , 52.62 , 719.62 , 668.548 , 7.09708% , 664.164 , 7.70629% , 1834 , 605 , 84269 , 19 , 0 , 0.418 , 100.035
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-44.svrp , 3 , 705 , 705 , 0 , 0 , 705 , 670 , 4.96454% , 662.69 , 6.00142% , 18200 , 1558 , 4436 , 0 , 4 , 0.051 , 100.006
VRP-Gendreau , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-45.svrp , 3 , 540.72 , 537 , 3.72 , 3.72 , 540.72 , 540.72 , 0% , 531 , 1.7976% , 286 , 199 , 5289 , 0 , 0 , 0.012 , 1.224
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-45.svrp , 3 , 540.72 , 537 , 3.72 , 3.72 , 540.72 , 540.72 , 0% , 531 , 1.7976% , 286 , 199 , 5289 , 0 , 0 , 0.318 , 3.686
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-45.svrp , 3 , 540.72 , 537 , 3.72 , 3.72 , 540.72 , 540.72 , 0% , 531 , 1.7976% , 191 , 152 , 57 , 0 , 0 , 0.018 , 0.201
VRP-Gendreau , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-46.svrp , 3 , 527.29 , 524 , 3.29 , 3.29 , 527.29 , 527.29 , 0% , 518 , 1.76184% , 360 , 143 , 8416 , 0 , 0 , 0.01 , 1.606
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-46.svrp , 3 , 527.29 , 524 , 3.29 , 3.29 , 527.29 , 527.29 , 0% , 518 , 1.76184% , 352 , 124 , 7591 , 1 , 0 , 0.292 , 3.846
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-46.svrp , 3 , 527.29 , 524 , 3.29 , 3.29 , 527.29 , 527.29 , 0% , 518 , 1.76184% , 596 , 148 , 187 , 0 , 1 , 0.016 , 0.53
VRP-Gendreau , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-47.svrp , 3 , 556.16 , 550 , 6.16 , 6.16 , 556.16 , 556.16 , 0% , 536.5 , 3.53495% , 1891 , 616 , 46569 , 0 , 0 , 0.021 , 49.389
VRP-Gendreau-SCEN_CUTS , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-47.svrp , 3 , 556.16 , 550 , 6.16 , 6.16 , 556.16 , 556.16 , 0% , 536.667 , 3.50499% , 1772 , 554 , 46757 , 33 , 0 , 1.13 , 59.859
VRP-NODE , ../Tina/RI-Instances/RI2/RI-NEW-n25-LB0-UB20-V1-scen200-47.svrp , 3 , 556.16 , 550 , 6.16 , 6.16 , 556.16 , 556.16 , 0% , 536 , 3.62486% , 2513 , 605 , 633 , 0 , 1 , 0.036 , 4.523
