Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
Parada , ./data/Jabali/k2/70_2_0.90_1_1.svrp , 747.16 , 733 , 1.89518 , 0.043 , 8.511 , 2 , 745 , 2.16 , 2.16 , 2.64 , 747.16 , 747.16 , 0 , 748 , 498 , 0.384907 , 0 , 0 , 16 , 27 , 0.458633 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/70_2_0.90_1_1.svrp , 747.16 , 733.08 , 1.88447 , 0.263 , 10.796 , 2 , 745 , 2.16 , 2.16 , 2.64 , 747.16 , 747.16 , 0 , 699 , 497 , 0.371097 , 0 , 0 , 21 , 0 , 0.46585 , 1 , 0.014003 , 14 , 0.453516 , 1 , 0
Parada , ./data/Jabali/k2/70_2_0.90_1_2.svrp , 637.76 , 634.333 , 0.537297 , 0.066 , 0.284 , 2 , 636 , 1.76 , 1.76 , 1.76 , 637.76 , 637.76 , 0 , 1 , 122 , 0.03524 , 0 , 0 , 1 , 4 , 0.015552 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/70_2_0.90_1_2.svrp , 637.76 , 637.384 , 0.0589563 , 0.443 , 0.607 , 2 , 636 , 1.76 , 1.76 , 1.76 , 637.76 , 637.76 , 0 , 1 , 121 , 0.056843 , 0 , 0 , 0 , 0 , 0.009191 , 36 , 0.039508 , 0 , 0.007636 , 1 , 0
Parada , ./data/Jabali/k2/70_2_0.90_1_3.svrp , 713.48 , 703.4 , 1.41279 , 0.039 , 1.133 , 2 , 711 , 2.48 , 2.48 , 2.48 , 713.48 , 713.48 , 0 , 200 , 205 , 0.10767 , 0 , 0 , 17 , 24 , 0.378996 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/70_2_0.90_1_3.svrp , 713.48 , 704.06 , 1.32029 , 0.329 , 1.186 , 2 , 711 , 2.48 , 2.48 , 2.48 , 713.48 , 713.48 , 0 , 110 , 162 , 0.123159 , 0 , 0 , 16 , 0 , 0.244095 , 11 , 0.051731 , 23 , 0.258175 , 1 , 0
Parada , ./data/Jabali/k2/70_2_0.90_1_4.svrp , 699.2 , 686.32 , 1.84211 , 0.049 , 5.398 , 2 , 697 , 2.2 , 2.2 , 2.2 , 699.2 , 699.2 , 0 , 720 , 487 , 0.335796 , 0 , 0 , 0 , 29 , 1.41514 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/70_2_0.90_1_4.svrp , 699.2 , 688.813 , 1.48551 , 0.419 , 4.063 , 2 , 697 , 2.2 , 2.2 , 2.2 , 699.2 , 699.2 , 0 , 460 , 412 , 0.284254 , 0 , 0 , 0 , 0 , 0.808392 , 30 , 0.056576 , 17 , 0.829178 , 1 , 0
Parada , ./data/Jabali/k2/70_2_0.90_1_5.svrp , 723.56 , 720.56 , 0.414617 , 0.04 , 0.247 , 2 , 723 , 0.56 , 0.56 , 0.56 , 723.56 , 723.56 , 0 , 1 , 86 , 0.023964 , 0 , 0 , 0 , 2 , 0.041326 , 0 , 0 , 0 , 0 , 1 , 0
Parada+SRI+Lagrangian , ./data/Jabali/k2/70_2_0.90_1_5.svrp , 723.56 , 720.56 , 0.414617 , 0.256 , 0.561 , 2 , 723 , 0.56 , 0.56 , 0.56 , 723.56 , 723.56 , 0 , 1 , 102 , 0.038087 , 0 , 0 , 0 , 0 , 0.020346 , 2 , 0.010921 , 0 , 0.018827 , 1 , 0
Parada , ./data/Jabali/k2/70_2_0.90_1_6.svrp , 673.16 , 671.796 , 0.202604 , 0.068 , 0.219 , 2 , 668 , 5.16 , 5.16 , 5.16 , 673.16 , 673.16 , 0 , 1 , 95 , 0.029149 , 0 , 0 , 4 , 2 , 0.030423 , 0 , 0 , 0 , 0 , 1 , 0
