Algorithm , Instance , Model Solution Cost, Root Lower Bound , Root Gap (%), Root Time (s) , Time (s), K , Deterministic Cost , Model Recourse Cost , Optimal Recourse Cost , Classical Recourse Cost , Upper Bound , Lower Bound , Gap (%) , Node Count , CVRPSEP Cuts , CVRPSEP Time (s) , Partial Route Cuts , Partial Route Time (s) , Parada Path Cuts , Parada Set Cuts , Parada Time (s) , SRI Cuts , SRI Time (s) , Aggregated SRI Cuts , Aggregated SRI Time (s) , Solved , Wrong Cuts
PR , ./data/Jabali/k4/50_4_0.80_1_2.svrp , 743.68 , 728.5 , 2.0412 , 0.014 , 0.242 , 4 , 739 , 4.68 , 4.68 , 4.68 , 743.68 , 743.68 , 0 , 73 , 142 , 0.024923 , 9 , 0.010186 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k4/50_4_0.80_1_2.svrp , 743.68 , 743.68 , 6.11483e-14 , 4.62 , 4.689 , 4 , 739 , 4.68 , 4.68 , 4.68 , 743.68 , 743.68 , 0 , 1 , 113 , 0.443394 , 0 , 0.000859 , 0 , 0 , 0.001382 , 834 , 0.987604 , 113 , 0.020463 , 1 , 0
PR , ./data/Jabali/k4/50_4_0.80_1_3.svrp , 735.56 , 716.812 , 2.54874 , 0.059 , 49.907 , 4 , 734 , 1.56 , 1.56 , 1.56 , 735.56 , 735.56 , 0 , 5596 , 2296 , 2.75059 , 518 , 0.809769 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k4/50_4_0.80_1_3.svrp , 735.56 , 727.74 , 1.06314 , 2.695 , 20.88 , 4 , 734 , 1.56 , 1.56 , 1.56 , 735.56 , 735.56 , 0 , 1502 , 1380 , 1.54866 , 16 , 0.131986 , 30 , 0 , 0.325529 , 471 , 0.846023 , 243 , 0.365529 , 1 , 0
PR , ./data/Jabali/k4/50_4_0.80_1_4.svrp , 712.92 , 696.667 , 2.27983 , 0.062 , 600.011 , 4 , 703 , 9.92 , 9.92 , 9.92 , 712.92 , 706.475 , 0.904029 , 53120 , 4474 , 10.6012 , 5329 , 11.551 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
PR+SRI , ./data/Jabali/k4/50_4_0.80_1_4.svrp , 712.92 , 705.771 , 1.00272 , 7.235 , 26.291 , 4 , 703 , 9.92 , 9.92 , 9.92 , 712.92 , 712.92 , 0 , 2166 , 887 , 2.32768 , 20 , 0.260193 , 25 , 0 , 0.933773 , 933 , 2.43917 , 385 , 0.965208 , 1 , 0
PR , ./data/Jabali/k4/50_4_0.80_1_5.svrp , 820.08 , 803.75 , 1.99127 , 0.039 , 2.361 , 4 , 815 , 5.08 , 5.08 , 5.08 , 820.08 , 820.08 , 0 , 724 , 461 , 0.25194 , 75 , 0.082351 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0
PR+SRI , ./data/Jabali/k4/50_4_0.80_1_5.svrp , 820.08 , 813.679 , 0.780551 , 2.524 , 4.776 , 4 , 815 , 5.08 , 5.08 , 5.08 , 820.08 , 820.08 , 0 , 263 , 382 , 0.648757 , 2 , 0.021023 , 2 , 0 , 0.044059 , 511 , 0.776305 , 159 , 0.081013 , 1 , 0
PR , ./data/Jabali/k4/50_4_0.80_1_6.svrp , 749.2 , 721.5 , 3.69728 , 0.042 , 600.012 , 4 , 731 , 18.2 , 18.2 , 18.2 , 749.2 , 741.616 , 1.01224 , 53372 , 3876 , 14.2 , 4458 , 10.4585 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
PR+SRI , ./data/Jabali/k4/50_4_0.80_1_6.svrp , 749.2 , 729.32 , 2.6535 , 0.325 , 34.653 , 4 , 731 , 18.2 , 18.2 , 18.2 , 749.2 , 749.2 , 0 , 5371 , 1476 , 1.5253 , 8 , 0.673646 , 45 , 0 , 2.03283 , 104 , 0.072106 , 661 , 1.9927 , 1 , 0
PR , ./data/Jabali/k4/50_4_0.80_1_7.svrp , 711.72 , 669.51 , 5.93073 , 0.056 , 600.011 , 4 , 711 , 0.72 , 0.72 , 0.72 , 711.72 , 698 , 1.92772 , 26066 , 6994 , 10.9778 , 1376 , 3.44543 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
